evidence_id,task_code,school,stage,evidence_type,evidence_text,normalized_value,source_question,source_url,confidence,updated_at
cityu__submit_conditions__source_context__0005_00,submit_conditions,CityU,offer_acceptance,source_context,"Q: Are there any scholarships available for my study at CityUHK? A: For details of scholarship opportunities, please contact the programme offering academic unit. Contact details are available here.",,Are there any scholarships available for my study at CityUHK?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,low,2026-06-30
cityu__submit_conditions__action_instruction__0006_00,submit_conditions,CityU,offer_acceptance,action_instruction,"However, if you need assistance regarding your application (e.g., to attend an interview), you may discuss your needs with the programme offering academic unit so that special arrangements can be made if practicable.","However, if you need assistance regarding your application (e.g., to attend an interview), you may discuss your needs with the programme offering academic unit so that special arrangements can be made if practicable.","If I have a physical or other disability, do I need to declare it at the application stage?",https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__deadline__0007_00,pay_tuition,CityU,payment,deadline,"The University reserves the right to cancel any programmes, in which case all fees paid by applicants will be refunded.","The University reserves the right to cancel any programmes, in which case all fees paid by applicants will be refunded.",What will happen if the programme I have applied for is subsequently cancelled?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0010_00,submit_conditions,CityU,offer_acceptance,deadline,"Applications for credit transfer for coursework completed prior to entry to the University must be made in the first semester following admission, before the deadline set by the University.","Applications for credit transfer for coursework completed prior to entry to the University must be made in the first semester following admission, before the deadline set by the University.",I am now studying the first year of a master’s degree overseas and I wish to transfer my study to CityUHK. Can the credits that I earned be transferred to the CityUHK programme?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0010_01,submit_conditions,CityU,offer_acceptance,deadline,Transferred credit units must have been earned no earlier than eight years before enrolment at the University.,Transferred credit units must have been earned no earlier than eight years before enrolment at the University.,I am now studying the first year of a master’s degree overseas and I wish to transfer my study to CityUHK. Can the credits that I earned be transferred to the CityUHK programme?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__action_instruction__0012_00,submit_conditions,CityU,offer_acceptance,action_instruction,Can I apply for programmes offered in 'combined mode'? (applicable to non-local applicants) Non-local applicants will be admitted to these programmes for either full-time or part-time studies.,Can I apply for programmes offered in 'combined mode'? (applicable to non-local applicants) Non-local applicants will be admitted to these programmes for either full-time or part-time studies.,What are the differences between master's programmes and research degree programmes?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__deadline__0013_00,apply_student_visa,CityU,visa,deadline,"The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arrangements for Non-local Graduates (IANG Visa); or Dependant visa / entry permit for applicants who were 18 years old or above when they were issued with such visa / entry permit by IMMD For information about student visa/entry permit, please visit the official website of IMMD of the Hong Kong Special Administrative Region (HKSAR).","The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arrangements for Non-local Graduates (IANG Visa); or Dependant visa / entry permit for applicants who were 18 years old or above when they were issued with such visa / entry permit by IMMD For information about student visa/entry permit, please visit the official website of IMMD of the Hong Kong Special Administrative Region (HKSAR).",Am I a local or a non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__required_document__0013_01,apply_student_visa,CityU,visa,required_document,"The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arrangements for Non-local Graduates (IANG Visa); or Dependant visa / entry permit for applicants who were 18 years old or above when they were issued with such visa / entry permit by IMMD For information about student visa/entry permit, please visit the official website of IMMD of the Hong Kong Special Administrative Region (HKSAR).",document; documents,Am I a local or a non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__action_instruction__0013_02,apply_student_visa,CityU,visa,action_instruction,"The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arrangements for Non-local Graduates (IANG Visa); or Dependant visa / entry permit for applicants who were 18 years old or above when they were issued with such visa / entry permit by IMMD For information about student visa/entry permit, please visit the official website of IMMD of the Hong Kong Special Administrative Region (HKSAR).","The definitions of non-local applicants and local applicants are set out below (with effect from Semester A 2019/20 entry): Non-local Applicants Persons holding the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as non-local applicants: Student visa / entry permit; or Visa / entry permit under the Immigration Arrangements for Non-local Graduates (IANG Visa); or Dependant visa / entry permit for applicants who were 18 years old or above when they were issued with such visa / entry permit by IMMD For information about student visa/entry permit, please visit the official website of IMMD of the Hong Kong Special Administrative Region (HKSAR).",Am I a local or a non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__deadline__0013_03,apply_student_visa,CityU,visa,deadline,Local Applicants Persons holding any of the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as local applicants: Hong Kong Identity Card (Permanent) Documents issued by IMMD showing right to land / right of abode in Hong Kong One-way permit for entry to Hong Kong Full-time employment visa / work permit (for part-time study) Dependant visa / entry permit for applicants who were below 18 years old when they were first issued with such visa / entry permit by IMMD,Local Applicants Persons holding any of the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as local applicants: Hong Kong Identity Card (Permanent) Documents issued by IMMD showing right to land / right of abode in Hong Kong One-way permit for entry to Hong Kong Full-time employment visa / work permit (for part-time study) Dependant visa / entry permit for applicants who were below 18 years old when they were first issued with such visa / entry permit by IMMD,Am I a local or a non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__required_document__0013_04,apply_student_visa,CityU,visa,required_document,Local Applicants Persons holding any of the following documents issued by Immigration Department (IMMD) of the HKSAR are classified as local applicants: Hong Kong Identity Card (Permanent) Documents issued by IMMD showing right to land / right of abode in Hong Kong One-way permit for entry to Hong Kong Full-time employment visa / work permit (for part-time study) Dependant visa / entry permit for applicants who were below 18 years old when they were first issued with such visa / entry permit by IMMD,document; documents,Am I a local or a non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__deadline__0014_00,apply_student_visa,CityU,visa,deadline,"If you have wrongly identified yourself as a local or non-local applicant, you should notify the Chow Yei Ching School of Graduate Studies in writing as soon as possible.","If you have wrongly identified yourself as a local or non-local applicant, you should notify the Chow Yei Ching School of Graduate Studies in writing as soon as possible.",What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__deadline__0014_01,apply_student_visa,CityU,visa,deadline,It will take 7 working days to update your status in our application system.,It will take 7 working days to update your status in our application system.,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__action_instruction__0014_02,apply_student_visa,CityU,visa,action_instruction,You may login your application account for checking.,You may login your application account for checking.,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__apply_student_visa__deadline__0014_03,apply_student_visa,CityU,visa,deadline,The personal information collected by the University will be used for the purpose of record verification and processing of your application.,The personal information collected by the University will be used for the purpose of record verification and processing of your application.,What should I do if I have wrongly identified myself in my application as a local or non-local applicant?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__submit_conditions__deadline__0015_00,submit_conditions,CityU,offer_acceptance,deadline,"For admission to the programmes offered by the University, applicants must meet the General Entrance Requirements AND Programme Entrance Requirements AND / OR English Proficiency Requirements as specified for individual programmes, if applicable.","For admission to the programmes offered by the University, applicants must meet the General Entrance Requirements AND Programme Entrance Requirements AND / OR English Proficiency Requirements as specified for individual programmes, if applicable.",What are the entrance requirements for admission to the University? How do I know whether I meet the entrance requirements for a particular programme?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__deadline__0022_00,pay_tuition,CityU,payment,deadline,"As concurrent enrolment in two CityUHK programmes is normally not allowed, you will need to withdraw from your current programme before enrolling in a new programme.","As concurrent enrolment in two CityUHK programmes is normally not allowed, you will need to withdraw from your current programme before enrolling in a new programme.",I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__action_instruction__0022_01,pay_tuition,CityU,payment,action_instruction,Current CityUHK students who wish to change their study programme to another one of the same level should apply for programme transfer.,Current CityUHK students who wish to change their study programme to another one of the same level should apply for programme transfer.,I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
cityu__pay_tuition__action_instruction__0022_02,pay_tuition,CityU,payment,action_instruction,E - Fees / Payment,E - Fees / Payment,I am a current CityUHK student on a master's programme. Can I apply to study for an additional programme or change my study programme at CityUHK?,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,medium,2026-06-30
