school,page_type,stage,url,priority,need_dynamic,remark
HKU,offer_holder,offer_acceptance,https://admissions.hku.hk/tpg/,1,no,TPG admissions landing page; programme-specific offer deadlines remain in the offer letter
HKU,visa,visa,https://studentvisa.hku.hk/,1,no,Official HKU student visa portal for undergraduate and postgraduate students
HKU,accommodation,housing,https://housing.cedars.hku.hk/,1,no,CEDARS university and off-campus housing information
HKU,tuition,payment,https://admissions.hku.hk/tpg/,2,no,TPG admissions page links programme-specific tuition information; exact fees vary by programme
HKU,registration,registration,https://ase.hku.hk/mr/mr_guide.pdf,1,no,Official online master registration guide; PDF extraction is deferred
HKU,orientation,orientation,https://www.cedars.hku.hk/non-local/orientationdaypg,2,no,CEDARS orientation day for non-local postgraduate students
HKU,faq,general,https://admissions.hku.hk/tpg/faq,2,no,TPG admissions FAQ
CUHK,admitted_student,offer_acceptance,https://www.gs.cuhk.edu.hk/admissions,1,no,Graduate School after-receiving-an-offer entry point
CUHK,visa,visa,https://www.gs.cuhk.edu.hk/registration/visa-application,1,no,Graduate School visa application for new students
CUHK,registration,registration,https://www.gs.cuhk.edu.hk/registration/how-to-register,1,no,Registration guide for postgraduate students
CUHK,accommodation,housing,https://www.gs.cuhk.edu.hk/admissions/campus-support,1,no,Postgraduate hall eligibility and campus support
CUHK,orientation,orientation,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2,no,Preparation and orientation entry point for new academic year
CUHK,tuition,payment,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2,no,New academic year page includes fee and payment preparation
CUHK,faq,general,https://www.gs.cuhk.edu.hk/admissions/faqs,2,no,Graduate School admissions FAQ
HKUST,offer_holder,offer_acceptance,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,1,no,Offer acceptance and deposit guidance
HKUST,visa,visa,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,1,no,Student visa and immigration arrangements
HKUST,accommodation,housing,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,1,no,Official housing eligibility and off-campus expectation for TPG students
HKUST,tuition,payment,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,1,no,Tuition fees and scholarships
HKUST,registration,registration,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,1,no,TPG preparation and account activation checklist
HKUST,orientation,orientation,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong,2,yes,Arrival and preparation resources for non-local students; browser rendering expands page content
HKUST,faq,general,https://fytgs.hkust.edu.hk/admissions/faq,2,no,Postgraduate admissions FAQ
CityU,admitted_student,offer_acceptance,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,1,yes,TPG admissions site may be protected by WAF
CityU,visa,visa,https://www.cityu.edu.hk/geo/non-local-students/visa,1,yes,Global Engagement Office student visa guidance; WAF may require browser collection
