chunk_id,school,page_type,stage,title,source_url,final_url,raw_file,chunk_index,text,updated_at
cityu__accommodation__fff57ce952__chunk_000,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,0,"About Us
Student Housing
Facilities & Provision
Residential Life
Advocacy
Home
Student Housing
Postgraduate Students
Master's Degree Students
Postgraduate Students
General Information
Kowloon Tong Compound
Fees and Payments
Room Swapping
Withdrawal
Check-In
Check-Out
Ma On Shan Compound
Fees and Payments
Room Swapping
Withdrawal
Check-In
Check-Out
Current Research Degree Students (RPG)
Kowloon Tong Compound
Newly admitted Research Degree Students (RPG)
Ma On Shan Compound
Master's Degree Students
Kowloon Tong Compound
Ma On Shan Compound
Shared Units @ NSY
Shared Units @ KLNT
Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27
[New]
Shared Units @ KLNT
Shared Units @ NSY
Both Shared Units with limited supply are open for master's students' application in 2026/27.
Residential Community Kowloon Tong Compound Nam Shan Yuen",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_001,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,1,"supply are open for master's students' application in 2026/27.
Residential Community Kowloon Tong Compound Nam Shan Yuen
Application Period 28 July 2026 (12:00 noon HKT)– 3 August 2026 (17:00 HKT)
(on a first-come, first-served basis, while stocks last)
Result Announcement & Payment period Starting from 29 July 2026 10:00 HKT within 24-hr upon payment detail was sent
Tentative schedule:
1st batch offer: 29 July 10:00 HKT
2nd batch offer: 30 July 12:00 HKT
3rd batch offer: 31 July 14:00 HKT
4th batch offer: 3 Aug 12:00 HKT
5th batch offer: 4 Aug 14:00 HKT
Room Type 1-bedroom unit (2 beds) or
2-bedroom unit (3 beds) 3-bedroom unit (7 beds) or
4-bedroom unit (8 beds)
Licence Fees (HK$)per person =
11-month lodging fee +
1-month refundable deposit $78,000 $48,000 – $78,000
Residential and Contract Period 24 August 2026 – 23 July 2027 (11-month)
Website for Application and",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_002,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,2,"0 $48,000 – $78,000
Residential and Contract Period 24 August 2026 – 23 July 2027 (11-month)
Website for Application and
Detailed Information Link Link
Updated on 16 June 2026
As on-campus accommodation is limited, we encourage all students to explore a range of housing avenues. To facilitate your search, we have provided a list of credible Housing Options in HK to help you secure suitable accommodation.
Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27
Message to Masters’ student in 2026/27 batch
Thank you for your interest in Student Residence in the Kowloon Tong (KLNT) and Ma On Shan (MOS) Compounds.
Residential Community Kowloon Tong Compound Ma On Shan Compound
Application Period 15 January 2026 – 27 May 2026
via Admission Application System
Release of Application Results 16 June 2026",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_003,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,3,"cation Period 15 January 2026 – 27 May 2026
via Admission Application System
Release of Application Results 16 June 2026
Room Type Different room types in studio flat, one-bedroom apartment and two-bedroom apartment
@Jockey Club Harmony Hall Double room
randomly assigned to:
- PG hall (shared lavatory)
- UG hall (communal lavatory)
Hall Lodging Fees (HK$)
(per semester per person) Rate in 2026/27: $22,800 – $35,750 Rate in 2026/27: $19,450
Website for Application and
Detailed Information Link Link
Important Notes:",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_004,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,4,": $22,800 – $35,750 Rate in 2026/27: $19,450
Website for Application and
Detailed Information Link Link
Important Notes:
While you are welcome to submit an application for Student Residence, we wish to have your good understanding that bed places are very limited and the allocation is highly competitive, and above all the chance of securing a place is LOW. We therefore strongly recommend you to explore alternative options, including some off-campus housing which SRO has sourced in the market for your easy reference [please visit HERE] to ensure you would secure a suitable accommodation.
About Us
Welcome Message
Kowloon Tong Compound
Residence Halls
Getting to SR
Contact Us
Our Neighbours
Ma On Shan Compound
Overview
Residence Halls
Getting to SR
Contact Us
Nam Shan Yuen
Overview
Getting to NSY
Contact Us
Student Housing
Undergraduate Students
Hall Admission
Kowloon Tong Compound",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_005,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,5,"Shan Yuen
Overview
Getting to NSY
Contact Us
Student Housing
Undergraduate Students
Hall Admission
Kowloon Tong Compound
General Information
Room assignment
Fees and Payment
Check-in
Check-out
Ma On Shan Compound
General Information
Room assignment
Fees and Payments
Check-in
Check-out
Local Students
Kowloon Tong Compound
Current (Round I)
Newly Admitted students (Round II)
Ma On Shan Compound
Current (Round I)
Newly Admitted Students (Round II)
Non-local Students
Kowloon Tong Compound
Current (Round I)
Ma On Shan Compound
Current (Round I)
New Non-Local Applicants
New Chinese Mainland Gaokao Applicants
Inbound Exchange Students
Postgraduate Students
General Information
Kowloon Tong Compound
Fees and Payments
Room Swapping
Withdrawal
Check-In
Check-Out
Ma On Shan Compound
Fees and Payments
Room Swapping
Withdrawal
Check-In
Check-Out
Current Research Degree Students (RPG)",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_006,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,6,"Ma On Shan Compound
Fees and Payments
Room Swapping
Withdrawal
Check-In
Check-Out
Current Research Degree Students (RPG)
Kowloon Tong Compound
Newly admitted Research Degree Students (RPG)
Ma On Shan Compound
Master's Degree Students
Kowloon Tong Compound
Ma On Shan Compound
Shared Units @ NSY
Shared Units @ KLNT
Off-campus Accommodation
Summer Residence
Kowloon Tong Compound
Undergraduate Students
Ma On Shan Compound
Summer Letting for CityUHK Depts
Kowloon Tong Compound
Ma On Shan Compound
Facilities & Provision
Kowloon Tong Compound
Student Room
Hall Facilities
User Guides
Our Services
Regulations and Rules
Forms
Ma On Shan Compound
Student Room
Hall Facilities
User Guides
Our Services
Regulations and Rules
SR Notices
Our Neighbours
Resources
Residential Life
Overview
Adjustment to Uni/Hall Life
Kowloon Tong Compound
Ma On Shan Compound
Whole-person development
Kowloon Tong Compound",2026-06-29T15:58:44+00:00
cityu__accommodation__fff57ce952__chunk_007,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,7,"iew
Adjustment to Uni/Hall Life
Kowloon Tong Compound
Ma On Shan Compound
Whole-person development
Kowloon Tong Compound
Ma On Shan Compound
Multi-culture Integration
Kowloon Tong Compound
Ma On Shan Compound
Residence Tutorship
Residence Tutorship 2026/27
Kowloon Tong Compound
Ma On Shan Compound
Community Outreach
Kowloon Tong Compound
Ma On Shan Compound
Advocacy
Kaleidoscope@SR
Success Stories
Feature Stories
Album
Video
Instagram
Kowloon Tong Compound
Ma On Shan Compound
Xiaohongshu
Privacy Policy · Copyright · Disclaimer · Accessibility
© City University of Hong Kong. All Rights Reserved.
We use cookies to ensure you get the best experience on our website.
More information
OK",2026-06-29T15:58:44+00:00
cityu__admitted_student__2e71d68c28__chunk_000,CityU,admitted_student,offer_acceptance,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,https://www.cityu.edu.hk/en/pg/taught-postgraduate-programmes/introduction,data/raw_pages/cityu__admitted_student__2e71d68c28.txt,0,"Postgraduate Admissions 研究生課程招生
Home
About CityUHK
Research Degree Programmes
Professional Doctorate Programmes
Master's Programmes
Visiting
Apply Now
News and Events
Quick Links
繁
Master's Programmes
Submenu : RPg
Introduction
Programme List
Entrance Requirements
Steps & Procedures
FAQs
Apply Now
Hong Kong Future Talents Scholarship Scheme for Advanced Studies (FTSS)
Latest Updates",2026-06-29T15:58:44+00:00
cityu__admitted_student__2e71d68c28__chunk_001,CityU,admitted_student,offer_acceptance,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,https://www.cityu.edu.hk/en/pg/taught-postgraduate-programmes/introduction,data/raw_pages/cityu__admitted_student__2e71d68c28.txt,1,"Steps & Procedures
FAQs
Apply Now
Hong Kong Future Talents Scholarship Scheme for Advanced Studies (FTSS)
Latest Updates
CityUHK offers more than 50 master's programmes in diverse and extensive subject areas to help students pursue their personal interests, professional excellence and career advancement. Students will receive an innovative and in-depth education, mainly in the form of coursework, while some programmes may require the completion of a project or thesis. Programmes may be offered in full-time, part-time or combined mode and generally require one to two years of study, subject to the credit load requirements of individual programmes. All programmes are self-financing except for the Postgraduate Certificate in Laws, on which some government-funded places are available.
Flexible Study Mode
Programmes are offered in full-time, part-time or combined mode.
More details",2026-06-29T15:58:44+00:00
