question,answer,school,stage,category,risk_level,source_url,updated_at
A01. When is the application period for 2026 entry and when is the application deadline?,Applications for entry in 2026/27 begin on 16 September 2025. The deadlines for applications vary by programme. Please refer to the online programme information for the deadlines specific to individual programmes. Applications for some programmes are considered on a rolling basis. Review of applications will start before the deadline and continue until all places are filled. Early applications are therefore strongly encouraged. Late applications may be accepted at the discretion of the respective academic unit.,CityU,general,general,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A02. Where can I obtain the application information?,"For application information about master's programmes, research degree and professional doctorate degree programmes, please visit the website of the Chow Yei Ching School of Graduate Studies.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A03. What is the provisional academic calendar for the 2026/27 academic year?,"Our academic year consists of two 16-week semesters (i.e., Semesters A and B) and an optional 9-week summer term. For the 2026/27 academic year, the provisional calendar is: Semester A: 31 August 2026 to 19 December 2026 Semester B: 11 January 2027 to 10 May 2027 Summer Term: 7 June 2027 to 7 August 2027",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A04. What is the timetable for morning and evening classes?,"The timetable is set as follows: Monday to Friday 9:00 am – 9:50 pm (Evening classes normally start at 7:00 pm. Classes with a duration of more than 3 hours may start earlier at 6:30 pm or extend to 10:50 pm if applicable.) Saturday 9:00 am – 6:50 pm For the timetable of individual course(s), please consult the respective academic unit.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A05. What is the medium of instruction of the University?,"The medium of instruction and assessment of the University is English, unless otherwise specified for a particular course or programme.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A06. Are there any scholarships available for my study at CityUHK?,"For details of scholarship opportunities, please contact the programme offering academic unit. Contact details are available here.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
"A07. If I have a physical or other disability, do I need to declare it at the application stage?","Admission to the University is based on academic criteria and other specified entrance requirements. If you have a physical or other disability, you are not required to declare this at the application stage. However, if you need assistance regarding your application (e.g., to attend an interview), you may discuss your needs with the programme offering academic unit so that special arrangements can be made if practicable.",CityU,general,offer_acceptance,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A08. What will happen if the programme I have applied for is subsequently cancelled?,"The University reserves the right to cancel any programmes, in which case all fees paid by applicants will be refunded.",CityU,general,payment,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A09. How should I send my IELTS/TOEFL results to CityUHK?,"You should arrange for your IELTS/TOEFL results to be sent to the University as soon as possible after you have submitted your application. If you have applied for more than one programme, the IELTS/TOEFL report will be shared among all your submitted applications. Submission of IELTS result to CityUHK Please arrange for it to be sent via the IELTS Results Service e-delivery to ‘City University of Hong Kong - Graduate School. Submission of TOEFL result to CityUHK Please arrange with the Education Testing Service (ETS) to send the score reportit directly to the University. The TOEFL institution code for CityUHK is 3401. TOEFL iBT Home Edition, TOEFL MyBest Score, IELTS Indicator, IELTS One Skill Retake, and IELTS Online are not accepted.",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
A10. What are the address and opening hours of the Chow Yei Ching School of Graduate Studies?,"For Research Degree and Professional Doctorate Programmes, contact details are as follows: Email: sg@cityu.edu.hk Phone: (852) 3442-9076 Fax: (852) 3442-0332 Office Location: Chow Yei Ching School of Graduate Studies 2/F, CityUHK International Centre City University of Hong Kong 22 Cornwall Street, Kowloon Tong Kowloon, Hong Kong SAR Opening Hours:",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
