task_id,school,stage,task_name,description,trigger_condition,deadline,required_documents,action_url,risk_level,source_url,updated_at,task_code,evidence_count,candidate_evidence_count,usable_evidence_count,review_evidence_count,rejected_evidence_count,evidence_types,official_deadline_evidence,official_document_evidence,official_action_evidence,official_action_urls,official_fee_evidence,evidence_ids,evidence_quality_status,evidence_quality_notes,enrichment_status,enriched_at
cuhk-accept_offer,CUHK,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://www.gs.cuhk.edu.hk/admissions,high,https://www.gs.cuhk.edu.hk/admissions,2026-06-29,accept_offer,3,4,3,0,1,"action_instruction, action_url, required_document",,"If you cannot provide document(s) to fulfil the admission condition(s) mentioned in the Admission Notification, your admission offer will be withdrawn.",Applicants can check their application status via the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx),https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx,,cuhk__accept_offer__action_url__0086_00; cuhk__accept_offer__action_instruction__0086_01; cuhk__accept_offer__required_document__0090_00,audited,3 keep; 1 reject,evidence_found,2026-06-30
cuhk-pay_deposit,CUHK,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://www.gs.cuhk.edu.hk/admissions,high,https://www.gs.cuhk.edu.hk/admissions,2026-06-29,pay_deposit,5,12,5,6,1,action_instruction,,,The payment due date for deposit payment is specified in your admission notification. | You may refer to the payment advice at the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) for various payment methods as well as other relevant details. | You may contact your Graduate Division/Programme to see if your deferral request could be accepted.,,,cuhk__pay_deposit__action_instruction__0092_01; cuhk__pay_deposit__action_instruction__0092_02; cuhk__pay_deposit__action_instruction__0093_01; cuhk__pay_deposit__action_instruction__0093_04; cuhk__pay_deposit__action_instruction__0095_01,audited,5 keep; 6 review/missing; 1 reject,evidence_found,2026-06-30
cuhk-submit_conditions,CUHK,offer_acceptance,补交 conditional offer 材料,核对 conditional offer 中尚未满足的条件，提交最终成绩单、毕业证、学位证、语言成绩或官方认证文件。,offer 为 conditional，且仍有 pending condition。,以 conditional offer、学院邮件或学校系统内的 document deadline 为准。,最终成绩单；毕业证 / 学位证；语言成绩；官方认证件；学校额外要求文件。,https://www.gs.cuhk.edu.hk/admissions,high,https://www.gs.cuhk.edu.hk/admissions,2026-06-29,submit_conditions,4,17,4,0,13,"action_instruction, required_document",,"Please submit your latest official transcript. | If accepted, provide an official final transcript and degree certificate upon admission.","Please submit your latest official transcript. | If accepted, provide an official final transcript and degree certificate upon admission.",,,cuhk__submit_conditions__required_document__0068_01; cuhk__submit_conditions__action_instruction__0068_02; cuhk__submit_conditions__required_document__0068_03; cuhk__submit_conditions__action_instruction__0068_04,audited,4 keep; 13 reject,evidence_found,2026-06-30
cuhk-apply_student_visa,CUHK,visa,申请学生签证 / 进入许可,内地学生通常需要通过学校申请 entry permit / student visa。尽早准备表格、身份证明、录取证明和资金材料，等待学校或入境处处理。,决定入读且尚未递交学生签证 / 进入许可申请。,以学校签证页面、邮件及香港入境事务处处理周期为准；不要等到临近开学才递交。,签证 / 进入许可申请表；旅行证件；录取证明；财力证明；照片；学校要求的其他文件。,https://www.gs.cuhk.edu.hk/registration/visa-application,high,https://www.gs.cuhk.edu.hk/registration/visa-application,2026-06-29,apply_student_visa,23,25,23,2,0,"action_instruction, action_url, deadline, required_document",The application process normally takes around 6‐8 weeks. | It is the student’s responsibility to apply for their visa/entry permit in a timely manner and to apply for extension before its expiry. | Admission Date Time to Apply 1 August At least 2 months before commencement of study 1 September At least 2 months before commencement of study 1 January At least 2 months before commencement of study,"Upon receipt of the duly completed application forms, supporting documents and payment, the Immigration Department takes around 6-8 weeks to process the applications. | View the document list at Visa Application (https://www.gs.cuhk.edu.hk/registration/visa-application) | For other overseas students: To activate the student visa, you should enter into Hong Kong with the student visa and your passport.",It is the student’s responsibility to apply for their visa/entry permit in a timely manner and to apply for extension before its expiry. | Admission Date Time to Apply 1 August At least 2 months before commencement of study 1 September At least 2 months before commencement of study 1 January At least 2 months before commencement of study | The handling fee should be settled by credit card on the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) .,https://www.immd.gov.hk/eng/services/right-of-abode-in-hksar.html | https://www.immd.gov.hk/eng/services/roa/term.html | https://www.immd.gov.hk/eng/index.html,,cuhk__apply_student_visa__action_url__0097_00; cuhk__apply_student_visa__action_url__0097_01; cuhk__apply_student_visa__action_url__0097_02; cuhk__apply_student_visa__deadline__0099_00; cuhk__apply_student_visa__deadline__0099_01; cuhk__apply_student_visa__action_instruction__0099_02; cuhk__apply_student_visa__deadline__0099_03; cuhk__apply_student_visa__action_instruction__0099_04; cuhk__apply_student_visa__action_url__0100_01; cuhk__apply_student_visa__action_url__0100_02; cuhk__apply_student_visa__action_instruction__0100_04; cuhk__apply_student_visa__deadline__0101_01,audited,23 keep; 2 review/missing,evidence_found,2026-06-30
cuhk-apply_accommodation,CUHK,housing,申请宿舍或安排校外住宿,查询学校住宿申请窗口、资格和优先级；如校内宿舍名额有限，同时准备校外租房备选方案。,计划到港就读，且尚未提交住宿申请或确定住所。,以学校住宿页面公布的 application period / hall application deadline 为准。,student ID / application number；入学证明；住宿申请表；可能需要的紧急联系人信息。,https://www.gs.cuhk.edu.hk/admissions/campus-support,medium,https://www.gs.cuhk.edu.hk/admissions/campus-support,2026-06-29,apply_accommodation,2,4,2,0,2,"action_instruction, action_url",,,Visit the Postgraduate Halls website (https://www.pgh.cuhk.edu.hk) or contact them directly at enquiry@pgh.cuhk.edu.hk for more information.,https://www.pgh.cuhk.edu.hk,,cuhk__apply_accommodation__action_url__0065_00; cuhk__apply_accommodation__action_instruction__0065_01,audited,2 keep; 2 reject,evidence_found,2026-06-30
cuhk-pay_tuition,CUHK,payment,核对并缴纳学费 / 其他费用,核对 programme tuition、缴费方式、分期安排和账单生成时间，按学校财务或学生系统要求付款。,学费账单或缴费通知已发布，且尚未完成付款。,以学校缴费页面、学生系统账单或学院邮件为准。,student ID；缴费通知；付款工具；付款凭证。,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,medium,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2026-06-29,pay_tuition,4,16,4,7,5,"action_instruction, action_url, deadline",Students will receive a fee note via email about two weeks before the payment due date.,,"Students will receive a fee note via email about two weeks before the payment due date. | For details, please refer to Notes on Payment of Student Fees (https://www.fno.cuhk.edu.hk/student/student-fees/faq/)",https://www.fno.cuhk.edu.hk/student/student-fees/faq/,,cuhk__pay_tuition__action_url__0094_00; cuhk__pay_tuition__deadline__0094_01; cuhk__pay_tuition__action_instruction__0094_02; cuhk__pay_tuition__action_instruction__0094_03,audited,4 keep; 7 review/missing; 5 reject,evidence_found,2026-06-30
cuhk-complete_registration,CUHK,registration,完成线上注册 / 学籍激活,按学校注册指引激活学生账号、完成个人资料、上传证件或注册确认，并检查是否需要线下核验。,学校开放 registration / enrolment，且尚未完成。,以学校 registration guide、学生系统和邮件通知为准。,身份证明；旅行证件；证件照片；录取信息；学校要求上传的声明或表格。,https://www.gs.cuhk.edu.hk/registration/how-to-register,high,https://www.gs.cuhk.edu.hk/registration/how-to-register,2026-06-29,complete_registration,4,8,4,0,4,"action_url, deadline, required_document",Non-local students are required to complete online document verification before collecting their CU Link ( Learn more (https://www.gs.cuhk.edu.hk/registration/visa-documents-submission) ).,Non-local students are required to complete online document verification before collecting their CU Link ( Learn more (https://www.gs.cuhk.edu.hk/registration/visa-documents-submission) ).,,https://culink.cuhk.edu.hk/collection-of-cu-link-student-card-for-new-postgraduates2/ | https://www.gs.cuhk.edu.hk/registration/visa-documents-submission,,cuhk__complete_registration__action_url__0096_00; cuhk__complete_registration__action_url__0096_01; cuhk__complete_registration__deadline__0096_02; cuhk__complete_registration__required_document__0096_03,audited,4 keep; 4 reject,evidence_found,2026-06-30
cuhk-prepare_arrival_orientation,CUHK,orientation,准备入境与参加 orientation,整理入境文件、住宿安排、交通和报到材料，关注 orientation / induction 活动报名与时间表。,签证 / 进入许可获批后，或开学前学校发布 orientation 安排。,以学校 orientation 页面、学院邮件和入境日期安排为准。,旅行证件；签证 / 进入许可；录取证明；住宿地址；保险 / 现金 / 电话卡等到港准备材料。,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,medium,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2026-06-29,prepare_arrival_orientation,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
cityu-accept_offer,CityU,offer_acceptance,接受 offer 并确认入读意向,登录学校申请系统或 offer letter 指定入口，按要求接受录取。若页面要求同时确认条款、上传回执或选择入学批次，需要一并完成。,收到 offer 后，且尚未完成 official acceptance。,以 offer letter、申请系统或学院邮件显示的 acceptance deadline 为准。,offer letter；申请系统账号；学校要求的接受录取确认信息。,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,2026-06-29,accept_offer,2,7,2,1,4,action_instruction,,,"Admission offers, if any, may be made at different times and applicants can indicate their acceptance of an alternative offer by completing the required procedures. | Applications are reviewed based on the information submitted in the year of admission, without reference to any previous unsuccessful applications.",,,cityu__accept_offer__action_instruction__0034_01; cityu__accept_offer__action_instruction__0051_00,audited,2 keep; 1 review/missing; 4 reject,evidence_found,2026-06-30
cityu-pay_deposit,CityU,offer_acceptance,缴纳留位费 / admission deposit,按学校指定付款方式缴纳留位费，并保存付款成功页面、交易编号或银行凭证。,offer 条款或申请系统要求缴纳 deposit，且尚未完成付款。,通常与接受 offer 的截止日绑定；以 offer letter / portal 的金额与截止时间为准。,银行卡或汇款信息；付款凭证；application number / student ID。,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,2026-06-29,pay_deposit,0,0,0,0,0,,,,,,,,no_evidence,,no_evidence,2026-06-30
