evidence_id,school,task_code,stage,evidence_type,source_url,source_question,confidence,text_char_count,task_keyword_hit_count,field_keyword_hit_count,source_stage_match,source_page_type,normalized_value_present,low_quality_flags,quality_score,quality_decision,notes,reviewed_at
cityu__submit_conditions__source_context__0005_00,CityU,submit_conditions,offer_acceptance,source_context,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Are there any scholarships available for my study at CityUHK?,low,198,0,0,yes,faq,no,admission_noise; source_context_only; task_keyword_mismatch,0,reject,admission_noise; source_context_only; task_keyword_mismatch,2026-06-30
cityu__submit_conditions__action_instruction__0006_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,"If I have a physical or other disability, do I need to declare it at the application stage?",medium,216,0,0,yes,faq,yes,admission_noise; task_keyword_mismatch; field_keyword_weak,5,reject,admission_noise; task_keyword_mismatch; field_keyword_weak,2026-06-30
cityu__pay_tuition__deadline__0007_00,CityU,pay_tuition,payment,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What will happen if the programme I have applied for is subsequently cancelled?,medium,119,1,0,yes,faq,yes,admission_noise; field_keyword_weak,55,reject,admission_noise; field_keyword_weak,2026-06-30
cityu__submit_conditions__deadline__0010_00,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I am now studying the first year of a master’s degree overseas and I wish to transfer my study to CityUHK. Can the credits that I earned be transferred to the CityUHK programme?,medium,189,1,2,yes,faq,yes,admission_noise,80,review,admission_noise,2026-06-30
cityu__submit_conditions__deadline__0010_01,CityU,submit_conditions,offer_acceptance,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,I am now studying the first year of a master’s degree overseas and I wish to transfer my study to CityUHK. Can the credits that I earned be transferred to the CityUHK programme?,medium,110,1,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__submit_conditions__action_instruction__0012_00,CityU,submit_conditions,offer_acceptance,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,What are the differences between master's programmes and research degree programmes?,medium,192,1,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__deadline__0013_00,CityU,apply_student_visa,visa,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Am I a local or a non-local applicant?,medium,687,4,0,yes,faq,yes,field_keyword_weak,65,review,field_keyword_weak,2026-06-30
cityu__apply_student_visa__required_document__0013_01,CityU,apply_student_visa,visa,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Am I a local or a non-local applicant?,medium,687,4,2,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__action_instruction__0013_02,CityU,apply_student_visa,visa,action_instruction,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Am I a local or a non-local applicant?,medium,687,4,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
cityu__apply_student_visa__deadline__0013_03,CityU,apply_student_visa,visa,deadline,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Am I a local or a non-local applicant?,medium,504,4,0,yes,faq,yes,field_keyword_weak,65,review,field_keyword_weak,2026-06-30
cityu__apply_student_visa__required_document__0013_04,CityU,apply_student_visa,visa,required_document,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,Am I a local or a non-local applicant?,medium,504,4,1,yes,faq,yes,,90,keep,rule checks passed,2026-06-30
