task_id,school,task_code,stage,task_name,review_priority,review_reason,reviewer_decision,reviewed_deadline_evidence,reviewed_document_evidence,reviewed_action_evidence,reviewed_action_urls,reviewed_fee_evidence,reviewer_notes,reviewed_at
cuhk-pay_deposit,CUHK,pay_deposit,offer_acceptance,缴纳留位费 / admission deposit,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；仍有 6 条 review/missing 证据未处理；同一任务同时存在 5 条 keep 和 1 条 reject 证据,,,,The payment due date for deposit payment is specified in your admission notification. | You may refer to the payment advice at the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) for various payment methods as well as other relevant details. | You may contact your Graduate Division/Programme to see if your deferral request could be accepted.,,,,
cuhk-submit_conditions,CUHK,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；同一任务同时存在 4 条 keep 和 13 条 reject 证据,,,"Please submit your latest official transcript. | If accepted, provide an official final transcript and degree certificate upon admission.","Please submit your latest official transcript. | If accepted, provide an official final transcript and degree certificate upon admission.",,,,
cityu-submit_conditions,CityU,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；仍有 1 条 review/missing 证据未处理；同一任务同时存在 7 条 keep 和 31 条 reject 证据,,Transferred credit units must have been earned no earlier than eight years before enrolment at the University. | Applicants with a conditional offer are required to provide the official documentation certifying fulfilment of condition(s) before the deadline indicated in the offer letter.,"Applicants with a conditional offer are required to provide the official documentation certifying fulfilment of condition(s) before the deadline indicated in the offer letter. | If you have submitted the required documents and are considered as having fulfilled ALL the conditions set out in the offer letter, your online application status will be marked as 'Condition Met' under 'Meeting Offer Condition(s)', but your application result will NOT be changed from 'Conditional Offer' to 'Firm Offer'. | If you fail to provide the required documents, your admission offer will be withdrawn and any enrolment made in the programme will also be rescinded.","Can I apply for programmes offered in 'combined mode'? (applicable to non-local applicants) Non-local applicants will be admitted to these programmes for either full-time or part-time studies. | If you have submitted the required documents and are considered as having fulfilled ALL the conditions set out in the offer letter, your online application status will be marked as 'Condition Met' under 'Meeting Offer Condition(s)', but your application result will NOT be changed from 'Conditional Offer' to 'Firm Offer'.",,,,
hkbu-complete_registration,HKBU,complete_registration,registration,完成线上注册 / 学籍激活,high,有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
hkbu-pay_deposit,HKBU,pay_deposit,offer_acceptance,缴纳留位费 / admission deposit,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；有候选证据，但没有任何 keep 级可用证据；仍有 7 条 review/missing 证据未处理；增强结果明确标记为 evidence_needs_review,,,,,,,,
hkbu-submit_conditions,HKBU,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；仍有 3 条 review/missing 证据未处理；同一任务同时存在 23 条 keep 和 4 条 reject 证据,,"Please refer to the Offer Condition(s) as listed on Online Application System (https://iss.hkbu.edu.hk/amsappl_pg/welcome.jsf) (Application Details -> Offer Condition) and complete the Actions for fulfilment of offer condition(s) by the deadline(s) as shown. | If you fail to achieve the required degree award and/or obtain the required English test score and/or other test score by the due date(s) as specified in the offer conditions (OAS -> Application Details -> Offer Condition), please write to the Taught Postgraduate Studies Section at hkbu_tpg@hkbu.edu.hk and attach relevant and sufficient documentary proof... | To allow sufficient time for validation of your academic qualification(s), please arrange the official transcript(s) to be sent to the Taught Postgraduate Studies Section as soon as possible.","If you fail to achieve the required degree award and/or obtain the required English test score and/or other test score by the due date(s) as specified in the offer conditions (OAS -> Application Details -> Offer Condition), please write to the Taught Postgraduate Studies Section at hkbu_tpg@hkbu.edu.hk and attach relevant and sufficient documentary proof... | An official transcript is a certified statement of your academic record which lists all the courses and grades that you achieved during your undergraduate and/or postgraduate studies. | The official transcript is issued by the institution of your awarded degree.","Once the Actions for fulfilment of offer condition(s) has been completed and checked by the university, the Fulfilled column will be updated as ""Yes"". | It normally takes about one month for the University to check and update the status. | If there is any issue, you will be contacted by email. [Click to Enlarge]",https://iss.hkbu.edu.hk/amsappl_pg/welcome.jsf,"HK$5,000",,
hku-pay_deposit,HKU,pay_deposit,offer_acceptance,缴纳留位费 / admission deposit,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；有候选证据，但没有任何 keep 级可用证据；仍有 1 条 review/missing 证据未处理；增强结果明确标记为 evidence_needs_review,,,,,,,,
hku-pay_tuition,HKU,pay_tuition,payment,核对并缴纳学费 / 其他费用,high,有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
hku-submit_conditions,HKU,submit_conditions,offer_acceptance,补交 conditional offer 材料,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；有候选证据，但没有任何 keep 级可用证据；增强结果明确标记为 evidence_needs_review,,,,,,,,
hkust-pay_deposit,HKUST,pay_deposit,offer_acceptance,缴纳留位费 / admission deposit,high,该任务类型容易混入 general admission FAQ，需要人工确认是否真的是 offer-holder 后续动作；同一任务同时存在 5 条 keep 和 2 条 reject 证据,,Please upload the payment proof by the deadline.,,"Pay the deposit to confirm your acceptance. | If you are a current/ previous student at the University, make sure you have settled all outstanding payment from your studies in order to proceed to new program registration. | Deposit payment instructions will be available after you click “Accept Offer and Pay” in the Online Admission System.",,,,
