chunk_id,school,page_type,stage,title,source_url,raw_file,token_count,vector_json,updated_at
cityu__accommodation__fff57ce952__chunk_000,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,119,"{""about"": 1, ""accommodation"": 1, ""admitted"": 1, ""advocacy"": 1, ""application"": 1, ""both"": 1, ""check"": 4, ""city"": 1, ""cityu"": 1, ""cityuhk"": 2, ""community"": 1, ""compound"": 7, ""current"": 1, ""degree"": 6, ""facilities"": 1, ""fees"": 2, ""full"": 2, ""general"": 1, ""hall"": 2, ""home"": 1, ""housing"": 3, ""in"": 5, ""information"": 1, ""klnt"": 2, ""kowloon"": 4, ""life"": 1, ""limited"": 1, ""ma"": 3, ""master"": 5, ""nam"": 1, ""new"": 1, ""newly"": 1, ""nsy"": 2, ""of"": 1, ""office"": 1, ""on"": 3, ""open"": 1, ""out"": 2, ""payments"": 2, ""postgraduate"": 2, ""provision"": 1, ""research"": 2, ""residence"": 3, ""residential"": 2, ""room"": 2, ""rpg"": 2, ""shan"": 4, ""shared"": 5, ""supply"": 1, ""swapping"": 2, ""time"": 2, ""tong"": 4, ""units"": 5, ""us"": 1, ""withdrawal"": 2, ""yuen"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_001,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,120,"{""1st"": 1, ""2nd"": 1, ""3rd"": 1, ""4th"": 1, ""5th"": 1, ""accommodation"": 1, ""announcement"": 1, ""application"": 3, ""aug"": 2, ""august"": 2, ""basis"": 1, ""batch"": 5, ""bedroom"": 4, ""beds"": 4, ""city"": 1, ""cityu"": 1, ""cityuhk"": 1, ""come"": 1, ""community"": 1, ""compound"": 1, ""contract"": 1, ""degree"": 1, ""deposit"": 1, ""detail"": 1, ""fee"": 1, ""fees"": 1, ""first"": 2, ""full"": 1, ""hall"": 1, ""hk"": 1, ""hkt"": 8, ""housing"": 1, ""hr"": 1, ""in"": 2, ""july"": 6, ""kowloon"": 1, ""last"": 1, ""licence"": 1, ""lodging"": 1, ""master"": 2, ""month"": 3, ""nam"": 1, ""noon"": 1, ""of"": 1, ""offer"": 5, ""office"": 1, ""on"": 1, ""open"": 1, ""or"": 2, ""payment"": 2, ""per"": 1, ""period"": 3, ""person"": 1, ""refundable"": 1, ""residence"": 2, ""residential"": 2, ""result"": 1, ""room"": 1, ""schedule"": 1, ""sent"": 1, ""served"": 1, ""shan"": 1, ""starting"": 1, ""stocks"": 1, ""supply"": 1, ""tentative"": 1, ""time"": 1, ""tong"": 1, ""type"": 1, ""unit"": 4, ""upon"": 1, ""was"": 1, ""website"": 1, ""while"": 1, ""within"": 1, ""yuen"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_002,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,108,"{""accommodation"": 3, ""admission"": 1, ""application"": 4, ""as"": 1, ""august"": 1, ""avenues"": 1, ""batch"": 1, ""campus"": 1, ""city"": 1, ""cityu"": 1, ""cityuhk"": 2, ""community"": 1, ""compound"": 2, ""compounds"": 1, ""contract"": 1, ""credible"": 1, ""degree"": 2, ""detailed"": 1, ""encourage"": 1, ""explore"": 1, ""facilitate"": 1, ""full"": 2, ""hall"": 2, ""help"": 1, ""hk"": 1, ""housing"": 3, ""in"": 6, ""information"": 1, ""interest"": 1, ""is"": 1, ""january"": 1, ""july"": 1, ""june"": 2, ""klnt"": 1, ""kowloon"": 2, ""limited"": 1, ""link"": 2, ""list"": 1, ""ma"": 2, ""master"": 2, ""masters"": 1, ""message"": 1, ""month"": 1, ""mos"": 1, ""of"": 4, ""office"": 1, ""on"": 4, ""options"": 1, ""period"": 2, ""provided"": 1, ""range"": 1, ""release"": 1, ""residence"": 4, ""residential"": 2, ""results"": 1, ""search"": 1, ""secure"": 1, ""shan"": 2, ""suitable"": 1, ""system"": 1, ""thank"": 1, ""time"": 2, ""to"": 4, ""tong"": 2, ""updated"": 1, ""via"": 1, ""we"": 2, ""website"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_003,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,78,"{""accommodation"": 1, ""admission"": 1, ""apartment"": 2, ""application"": 3, ""assigned"": 1, ""bedroom"": 2, ""cation"": 1, ""city"": 1, ""cityu"": 1, ""cityuhk"": 1, ""club"": 1, ""communal"": 1, ""degree"": 1, ""detailed"": 1, ""different"": 1, ""double"": 1, ""fees"": 1, ""flat"": 1, ""full"": 1, ""hall"": 5, ""harmony"": 1, ""hk"": 1, ""housing"": 1, ""important"": 1, ""in"": 4, ""information"": 1, ""january"": 1, ""jockey"": 1, ""june"": 1, ""lavatory"": 2, ""link"": 2, ""lodging"": 1, ""master"": 1, ""notes"": 1, ""of"": 2, ""office"": 1, ""one"": 1, ""per"": 2, ""period"": 1, ""person"": 1, ""pg"": 1, ""randomly"": 1, ""rate"": 2, ""release"": 1, ""residence"": 2, ""results"": 1, ""room"": 3, ""semester"": 1, ""shared"": 1, ""studio"": 1, ""system"": 1, ""time"": 1, ""to"": 1, ""two"": 1, ""type"": 1, ""types"": 1, ""ug"": 1, ""via"": 1, ""website"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_004,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,117,"{""about"": 1, ""above"": 1, ""accommodation"": 2, ""allocation"": 1, ""alternative"": 1, ""an"": 1, ""application"": 2, ""bed"": 1, ""campus"": 1, ""chance"": 1, ""city"": 1, ""cityu"": 1, ""cityuhk"": 1, ""competitive"": 1, ""compound"": 3, ""contact"": 3, ""degree"": 1, ""detailed"": 1, ""easy"": 1, ""ensure"": 1, ""explore"": 1, ""full"": 1, ""getting"": 3, ""good"": 1, ""hall"": 2, ""halls"": 2, ""here"": 1, ""highly"": 1, ""housing"": 3, ""important"": 1, ""in"": 3, ""including"": 1, ""information"": 1, ""is"": 2, ""kowloon"": 2, ""limited"": 1, ""link"": 2, ""low"": 1, ""market"": 1, ""master"": 1, ""message"": 1, ""neighbours"": 1, ""notes"": 1, ""of"": 2, ""off"": 1, ""office"": 1, ""options"": 1, ""our"": 1, ""overview"": 2, ""place"": 1, ""places"": 1, ""rate"": 1, ""recommend"": 1, ""reference"": 1, ""residence"": 5, ""secure"": 1, ""securing"": 1, ""shan"": 2, ""some"": 1, ""sourced"": 1, ""sr"": 2, ""sro"": 1, ""strongly"": 1, ""submit"": 1, ""suitable"": 1, ""therefore"": 1, ""time"": 1, ""to"": 7, ""tong"": 2, ""understanding"": 1, ""us"": 4, ""very"": 1, ""visit"": 1, ""we"": 2, ""website"": 1, ""welcome"": 2, ""which"": 1, ""while"": 1, ""wish"": 1, ""would"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_005,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,130,"{""accommodation"": 1, ""admission"": 1, ""admitted"": 2, ""applicants"": 2, ""assignment"": 2, ""check"": 8, ""chinese"": 1, ""city"": 1, ""cityu"": 1, ""cityuhk"": 1, ""compound"": 8, ""contact"": 1, ""current"": 5, ""degree"": 2, ""exchange"": 1, ""fees"": 4, ""full"": 1, ""gaokao"": 1, ""general"": 3, ""getting"": 1, ""hall"": 2, ""housing"": 2, ""ii"": 2, ""in"": 5, ""inbound"": 1, ""information"": 3, ""kowloon"": 4, ""local"": 3, ""ma"": 4, ""mainland"": 1, ""master"": 1, ""new"": 2, ""newly"": 2, ""non"": 2, ""nsy"": 1, ""of"": 1, ""office"": 1, ""on"": 4, ""out"": 4, ""overview"": 1, ""payment"": 1, ""payments"": 3, ""postgraduate"": 1, ""research"": 1, ""residence"": 2, ""room"": 4, ""round"": 6, ""rpg"": 1, ""shan"": 5, ""swapping"": 2, ""time"": 1, ""to"": 1, ""tong"": 4, ""undergraduate"": 1, ""us"": 1, ""withdrawal"": 2, ""yuen"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_006,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,137,"{""accommodation"": 2, ""adjustment"": 1, ""admitted"": 1, ""campus"": 1, ""check"": 2, ""city"": 1, ""cityu"": 1, ""cityuhk"": 2, ""compound"": 14, ""current"": 1, ""degree"": 4, ""depts"": 1, ""development"": 1, ""facilities"": 3, ""fees"": 1, ""forms"": 1, ""full"": 1, ""guides"": 2, ""hall"": 4, ""housing"": 1, ""in"": 2, ""klnt"": 1, ""kowloon"": 7, ""letting"": 1, ""life"": 2, ""ma"": 7, ""master"": 2, ""neighbours"": 1, ""newly"": 1, ""notices"": 1, ""nsy"": 1, ""of"": 1, ""off"": 1, ""office"": 1, ""on"": 7, ""our"": 3, ""out"": 1, ""overview"": 1, ""payments"": 1, ""person"": 1, ""provision"": 1, ""regulations"": 2, ""research"": 2, ""residence"": 3, ""residential"": 1, ""resources"": 1, ""room"": 3, ""rpg"": 2, ""rules"": 2, ""services"": 2, ""shan"": 7, ""shared"": 2, ""sr"": 1, ""summer"": 2, ""swapping"": 1, ""time"": 1, ""to"": 1, ""tong"": 7, ""undergraduate"": 1, ""uni"": 1, ""units"": 2, ""user"": 2, ""whole"": 1, ""withdrawal"": 1}",2026-06-30T00:19:08+00:00
cityu__accommodation__fff57ce952__chunk_007,CityU,accommodation,housing,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,data/raw_pages/cityu__accommodation__fff57ce952.txt,109,"{""accessibility"": 1, ""accommodation"": 1, ""adjustment"": 1, ""advocacy"": 1, ""album"": 1, ""best"": 1, ""city"": 2, ""cityu"": 1, ""cityuhk"": 1, ""community"": 1, ""compound"": 12, ""cookies"": 1, ""copyright"": 1, ""culture"": 1, ""degree"": 1, ""development"": 1, ""disclaimer"": 1, ""ensure"": 1, ""experience"": 1, ""feature"": 1, ""full"": 1, ""get"": 1, ""hall"": 2, ""housing"": 1, ""iew"": 1, ""in"": 1, ""information"": 1, ""instagram"": 1, ""integration"": 1, ""kaleidoscope"": 1, ""kowloon"": 6, ""life"": 1, ""ma"": 6, ""master"": 1, ""more"": 1, ""multi"": 1, ""of"": 2, ""office"": 1, ""ok"": 1, ""on"": 7, ""our"": 1, ""outreach"": 1, ""person"": 1, ""policy"": 1, ""privacy"": 1, ""reserved"": 1, ""residence"": 4, ""rights"": 1, ""shan"": 6, ""sr"": 1, ""stories"": 2, ""success"": 1, ""time"": 1, ""to"": 2, ""tong"": 6, ""tutorship"": 2, ""uni"": 1, ""use"": 1, ""video"": 1, ""we"": 1, ""website"": 1, ""whole"": 1, ""xiaohongshu"": 1}",2026-06-30T00:19:08+00:00
cityu__admitted_student__2e71d68c28__chunk_000,CityU,admitted_student,offer_acceptance,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,data/raw_pages/cityu__admitted_student__2e71d68c28.txt,53,"{""about"": 1, ""acceptance"": 1, ""admissions"": 2, ""admitted"": 1, ""advanced"": 1, ""apply"": 2, ""cityu"": 1, ""cityuhk"": 2, ""degree"": 1, ""doctorate"": 1, ""entrance"": 1, ""events"": 1, ""faqs"": 1, ""ftss"": 1, ""future"": 1, ""home"": 1, ""introduction"": 2, ""latest"": 1, ""links"": 1, ""list"": 1, ""master"": 3, ""news"": 1, ""now"": 2, ""offer"": 1, ""postgraduate"": 2, ""procedures"": 1, ""professional"": 1, ""programme"": 1, ""programmes"": 5, ""quick"": 1, ""requirements"": 1, ""research"": 1, ""rpg"": 1, ""scheme"": 1, ""scholarship"": 1, ""steps"": 1, ""studies"": 1, ""submenu"": 1, ""talents"": 1, ""updates"": 1, ""visiting"": 1}",2026-06-30T00:19:08+00:00
cityu__admitted_student__2e71d68c28__chunk_001,CityU,admitted_student,offer_acceptance,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,data/raw_pages/cityu__admitted_student__2e71d68c28.txt,115,"{""acceptance"": 1, ""admissions"": 1, ""admitted"": 1, ""advanced"": 1, ""advancement"": 1, ""an"": 1, ""apply"": 1, ""areas"": 1, ""be"": 1, ""career"": 1, ""certificate"": 1, ""cityu"": 1, ""cityuhk"": 2, ""combined"": 2, ""completion"": 1, ""coursework"": 1, ""credit"": 1, ""depth"": 1, ""diverse"": 1, ""education"": 1, ""excellence"": 1, ""except"": 1, ""extensive"": 1, ""faqs"": 1, ""financing"": 1, ""form"": 1, ""ftss"": 1, ""full"": 2, ""future"": 1, ""generally"": 1, ""help"": 1, ""in"": 6, ""individual"": 1, ""innovative"": 1, ""interests"": 1, ""introduction"": 1, ""latest"": 1, ""laws"": 1, ""load"": 1, ""mainly"": 1, ""master"": 2, ""mode"": 3, ""more"": 2, ""now"": 1, ""of"": 4, ""offer"": 1, ""offered"": 2, ""offers"": 1, ""on"": 1, ""one"": 1, ""or"": 3, ""part"": 2, ""personal"": 1, ""postgraduate"": 2, ""procedures"": 1, ""professional"": 1, ""programmes"": 7, ""project"": 1, ""pursue"": 1, ""receive"": 1, ""require"": 2, ""requirements"": 1, ""scheme"": 1, ""scholarship"": 1, ""self"": 1, ""some"": 2, ""steps"": 1, ""studies"": 1, ""study"": 2, ""subject"": 2, ""talents"": 1, ""than"": 1, ""thesis"": 1, ""time"": 4, ""to"": 3, ""two"": 1, ""updates"": 1, ""which"": 1, ""while"": 1, ""years"": 1}",2026-06-30T00:19:08+00:00
